"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"JPN","SHPRICE","TOT","IDX2015","Q","2022-Q1",123.8295,
"KOR","SHPRICE","TOT","IDX2015","Q","2016-Q4",100.1067,
"KOR","SHPRICE","TOT","IDX2015","Q","2017-Q1",104.0965,
"KOR","SHPRICE","TOT","IDX2015","Q","2017-Q2",113.0888,
"KOR","SHPRICE","TOT","IDX2015","Q","2017-Q3",118.5907,
"KOR","SHPRICE","TOT","IDX2015","Q","2017-Q4",123.6195,
"KOR","SHPRICE","TOT","IDX2015","Q","2018-Q1",122.7539,
"KOR","SHPRICE","TOT","IDX2015","Q","2018-Q2",121.3695,
"KOR","SHPRICE","TOT","IDX2015","Q","2018-Q3",114.0128,
"KOR","SHPRICE","TOT","IDX2015","Q","2018-Q4",104.6804,
"KOR","SHPRICE","TOT","IDX2015","Q","2019-Q1",107.2667,
"KOR","SHPRICE","TOT","IDX2015","Q","2019-Q2",106.2774,
"KOR","SHPRICE","TOT","IDX2015","Q","2019-Q3",100.5876,
"KOR","SHPRICE","TOT","IDX2015","Q","2019-Q4",105.1363,
"KOR","SHPRICE","TOT","IDX2015","Q","2020-Q1",102.1079,
"KOR","SHPRICE","TOT","IDX2015","Q","2020-Q2",98.61617,
"KOR","SHPRICE","TOT","IDX2015","Q","2020-Q3",114.6599,
"KOR","SHPRICE","TOT","IDX2015","Q","2020-Q4",126.3584,
"KOR","SHPRICE","TOT","IDX2015","Q","2021-Q1",152.5435,
"KOR","SHPRICE","TOT","IDX2015","Q","2021-Q2",158.9861,
"KOR","SHPRICE","TOT","IDX2015","Q","2021-Q3",158.7464,
"KOR","SHPRICE","TOT","IDX2015","Q","2021-Q4",148.2036,
"KOR","SHPRICE","TOT","IDX2015","Q","2022-Q1",137.0543,
"LUX","SHPRICE","TOT","IDX2015","Q","2016-Q4",95.23788,
"LUX","SHPRICE","TOT","IDX2015","Q","2017-Q1",103.8035,
"LUX","SHPRICE","TOT","IDX2015","Q","2017-Q2",100.0955,
"LUX","SHPRICE","TOT","IDX2015","Q","2017-Q3",98.53454,
"LUX","SHPRICE","TOT","IDX2015","Q","2017-Q4",99.84414,
"LUX","SHPRICE","TOT","IDX2015","Q","2018-Q1",103.4529,
"LUX","SHPRICE","TOT","IDX2015","Q","2018-Q2",102.9347,
